A Catskill Eagle
address
africa
almond antique
apolonia carroll
avg
by
canada
category
city
count
customer
extendedprice
for
in
lineorder2
mint milk chocolate
month
morocco
nation
product
region
revenue
sales
sales_fact_1997
sum
supplier
supplycost
united states
vietnam
year
